date,gamma,elecro,lon,L
2023-11-0106:07:00.000,N/A,N/A,43.609699,1.0366900
2023-11-0106:08:00.000,N/A,N/A,42.855190,1.0488000
2023-11-0106:09:00.000,N/A,N/A,42.102322,1.0742300
2023-11-0106:10:00.000,N/A,N/A,41.346809,1.1132500
2023-11-0106:11:00.000,N/A,N/A,40.584290,1.1663800
2023-11-0106:12:00.000,N/A,N/A,39.810120,1.2355800
2023-11-0106:13:00.000,N/A,N/A,39.019272,1.3221000
2023-11-0106:14:00.000,N/A,N/A,38.206100,1.4273900
2023-11-0106:15:00.000,N/A,N/A,37.364101,1.5530699
2023-11-0106:16:00.000,N/A,N/A,36.485580,1.7007300
2023-11-0106:17:00.000,N/A,N/A,35.561199,1.8709700
2023-11-0106:18:00.000,N/A,N/A,34.579430,2.0662999
2023-11-0106:19:00.000,N/A,N/A,33.525661,2.2892599
2023-11-0106:20:00.000,N/A,N/A,32.380981,2.5425000
2023-11-0106:21:00.000,N/A,N/A,31.120359,2.8298399
2023-11-0106:22:00.000,N/A,N/A,29.709770,3.1559601
2023-11-0106:23:00.000,N/A,N/A,28.101780,3.5289400
2023-11-0106:24:00.000,N/A,N/A,26.228100,3.9591100
2023-11-0106:25:00.000,N/A,N/A,23.986919,4.4562702
2023-11-0106:26:00.000,N/A,N/A,21.220209,5.0218301
2023-11-0106:27:00.000,N/A,N/A,17.670740,5.6433201
2023-11-0106:28:00.000,N/A,N/A,12.897130,6.2915502
2023-11-0106:29:00.000,N/A,N/A,6.1001401,6.9176402
2023-11-0106:30:00.000,N/A,N/A,355.78625,7.4457798
2023-11-0106:31:00.000,N/A,N/A,339.39841,7.7813802
2023-11-0106:32:00.000,N/A,N/A,314.85248,7.8392000
2023-11-0106:33:00.000,N/A,N/A,287.25208,7.5852900
2023-11-0106:34:00.000,N/A,N/A,266.07620,7.0613098
2023-11-0106:35:00.000,N/A,N/A,252.58336,6.3631601
2023-11-0106:36:00.000,N/A,N/A,243.97643,5.6010199
2023-11-0106:37:00.000,N/A,N/A,238.15199,4.8632598
2023-11-0106:38:00.000,N/A,N/A,233.95839,4.2036200
2023-11-0106:39:00.000,N/A,N/A,230.77486,3.6396401
